id,type,name,year,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,avg_rating,bay_rating,owners,traders,wanters,wishers,total_comments,total_weights,complexity,categories,mechanics
13,boardgame,Catan,1995,3,4,120,60,120,10,94325,7.1649,7.00332,141150,1788,461,5209,17582,7131,2.328,"['Economic', 'Negotiation']","['Dice Rolling', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Race', 'Random Production', 'Trading', 'Variable Setup']"
822,boardgame,Carcassonne,2000,2,5,45,30,45,7,94243,7.42006,7.31261,136642,1572,532,6147,17476,7230,1.9176,"['City Building', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Map Addition', 'Tile Placement']"
30549,boardgame,Pandemic,2008,2,4,45,45,45,8,93998,7.61846,7.52184,140946,2163,646,8433,15515,5171,2.4156,['Medical'],"['Action Points', 'Cooperative Game', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']"
68448,boardgame,7 Wonders,2010,2,7,30,30,30,10,78051,7.76272,7.66541,103573,1349,1041,10675,13087,4354,2.3326,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic']","['Card Drafting', 'Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Trading', 'Variable Player Powers']"
36218,boardgame,Dominion,2008,2,4,30,30,30,13,73856,7.62973,7.52512,96185,1882,624,7468,12863,4816,2.3592,"['Card Game', 'Medieval']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Take That', 'Variable Setup']"
9209,boardgame,Ticket to Ride,2004,2,5,60,30,60,8,66734,7.43261,7.32552,89315,832,678,5868,11994,4431,1.8549,['Trains'],"['Card Drafting', 'Connections', 'Hand Management', 'Map Reduction', 'Network and Route Building', 'Set Collection']"
31260,boardgame,Agricola,2007,1,5,150,30,150,12,60860,7.96446,7.85694,72642,1257,1125,9977,12350,5911,3.6397,"['Animals', 'Economic', 'Farming']","['Advantage Token', 'Automatic Resource Growth', 'Card Drafting', 'Enclosure', 'Hand Management', 'Increase Value of Unchosen Resources', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Variable Player Powers', 'Worker Placement']"
178900,boardgame,Codenames,2015,2,8,15,15,15,14,60774,7.64856,7.5611,96288,914,338,4953,8282,1599,1.2989,"['Card Game', 'Deduction', 'Party Game', 'Spies/Secret Agents', 'Word Game']","['Communication Limits', 'Memory', 'Push Your Luck', 'Team-Based Game']"
3076,boardgame,Puerto Rico,2002,3,5,150,90,150,12,60347,8.0115,7.89109,70211,1243,1005,8778,11672,5907,3.2831,"['City Building', 'Economic', 'Farming']","['Action Drafting', 'End Game Bonuses', 'Follow', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Turn Order: Progressive', 'Variable Phase Order']"
40692,boardgame,Small World,2009,2,5,80,40,80,8,58275,7.27565,7.18759,77144,1891,914,8692,9346,3126,2.3608,"['Fantasy', 'Fighting', 'Territory Building']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Increase Value of Unchosen Resources', 'Variable Player Powers', 'Victory Points as a Resource']"
167791,boardgame,Terraforming Mars,2016,1,5,120,120,120,12,54095,8.42636,8.27611,71125,329,2088,15652,8118,2158,3.2368,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Card Drafting', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']"
70323,boardgame,King of Tokyo,2011,2,6,30,30,30,8,53903,7.19821,7.10602,77292,1158,698,6243,9224,2404,1.4929,"['Dice', 'Fighting', 'Movies / TV / Radio theme', 'Science Fiction']","['Card Drafting', 'Dice Rolling', 'King of the Hill', 'Player Elimination', 'Push Your Luck', 'Re-rolling and Locking']"
2651,boardgame,Power Grid,2004,2,6,120,120,120,12,53696,7.87088,7.7759,62933,885,1347,9574,9998,4601,3.2736,"['Economic', 'Industry / Manufacturing']","['Auction/Bidding', 'Auction: Turn Order Until Pass', 'Catch the Leader', 'Income', 'Market', 'Network and Route Building', 'Turn Order: Stat-Based']"
14996,boardgame,Ticket to Ride: Europe,2005,2,5,60,30,60,8,53542,7.55166,7.4358,73862,558,753,5370,8220,3302,1.9458,['Trains'],"['Card Drafting', 'Connections', 'Hand Management', 'Network and Route Building', 'Push Your Luck', 'Set Collection']"
148228,boardgame,Splendor,2014,2,4,30,30,30,10,52950,7.45707,7.3446,73627,705,770,6955,7900,2006,1.8016,"['Card Game', 'Economic', 'Renaissance']","['Card Drafting', 'Contracts', 'Set Collection']"
129622,boardgame,Love Letter,2012,2,4,20,20,20,10,52067,7.23637,7.14748,86686,1130,222,3019,9342,2479,1.1924,"['Card Game', 'Deduction', 'Renaissance']","['Hand Management', 'Player Elimination']"
173346,boardgame,7 Wonders Duel,2015,2,2,30,30,30,10,51230,8.10449,7.97619,79527,549,941,7103,7168,1565,2.2185,"['Ancient', 'Card Game', 'City Building', 'Civilization']","['Card Drafting', 'Drafting', 'Set Collection', 'Sudden Death Ending', 'Tug of War']"
169786,boardgame,Scythe,2016,1,5,115,90,115,14,50434,8.25414,8.09586,65410,410,1940,15806,7827,1976,3.3917,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']","['Area Majority / Influence', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Moving Multiple Units', 'Narrative Choice / Paragraph', 'Race', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Variable Player Powers']"
39856,boardgame,Dixit,2008,3,6,30,30,30,8,46800,7.27159,7.16593,63667,847,433,4923,7614,1911,1.2266,"['Card Game', 'Humor', 'Party Game']","['Communication Limits', 'Simultaneous Action Selection', 'Storytelling', 'Targeted Clues', 'Voting']"
478,boardgame,Citadels,2000,2,8,60,20,60,10,46401,7.08879,6.98639,61549,1458,336,3068,9535,3600,2.0533,"['Bluffing', 'Card Game', 'City Building', 'Deduction', 'Fantasy', 'Medieval']","['Action Drafting', 'Card Drafting', 'Lose a Turn', 'Set Collection', 'Turn Order: Role Order', 'Variable Player Powers']"
28143,boardgame,Race for the Galaxy,2007,2,4,60,30,60,12,43852,7.76092,7.66085,52936,1060,1048,7938,9263,3369,2.9774,"['Card Game', 'Civilization', 'Economic', 'Science Fiction', 'Space Exploration']","['Follow', 'Hand Management', 'Simultaneous Action Selection', 'Turn Order: Role Order', 'Variable Phase Order', 'Variable Player Powers']"
230802,boardgame,Azul,2017,2,4,45,30,45,8,43465,7.85369,7.72843,63362,325,1134,8639,5679,1049,1.7779,"['Abstract Strategy', 'Renaissance']","['Drafting', 'End Game Bonuses', 'Pattern Building', 'Set Collection', 'Tile Placement', 'Turn Order: Claim Action']"
110327,boardgame,Lords of Waterdeep,2012,2,5,120,60,120,12,42886,7.75651,7.63165,52382,572,1182,8641,7327,2061,2.4702,"['City Building', 'Fantasy']","['Card Drafting', 'Contracts', 'Hidden Roles', 'Increase Value of Unchosen Resources', 'Ownership', 'Set Collection', 'Take That', 'Turn Order: Claim Action', 'Worker Placement']"
84876,boardgame,The Castles of Burgundy,2011,2,4,90,30,90,12,42346,8.12982,8.01197,57924,690,1076,8621,7320,2217,3.0005,"['Dice', 'Medieval', 'Territory Building']","['Dice Rolling', 'Grid Coverage', 'Hexagon Grid', 'Set Collection', 'Tile Placement', 'Turn Order: Stat-Based', 'Worker Placement with Dice Workers']"
34635,boardgame,Stone Age,2008,2,4,90,60,90,10,42144,7.57977,7.47092,44779,501,1596,9099,7470,2693,2.4805,"['Dice', 'Economic', 'Prehistoric']","['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement']"
163412,boardgame,Patchwork,2014,2,2,30,15,30,8,40787,7.6733,7.56692,59419,384,788,5594,5435,1084,1.655,"['Abstract Strategy', 'Puzzle']","['Card Drafting', 'Grid Coverage', 'Income', 'Rondel', 'Square Grid', 'Tile Placement', 'Time Track', 'Victory Points as a Resource']"
1927,boardgame,Munchkin,2001,3,6,120,60,120,10,39338,5.91024,5.73973,69084,2351,116,1615,7620,2253,1.7998,"['Card Game', 'Fantasy', 'Fighting', 'Humor']","['Hand Management', 'Take That', 'Variable Player Powers']"
65244,boardgame,Forbidden Island,2010,2,4,30,30,30,10,39122,6.80137,6.70954,67216,1936,220,3560,7709,1946,1.7395,"['Adventure', 'Fantasy']","['Action Points', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Map Reduction', 'Modular Board', 'Pick-up and Deliver', 'Set Collection', 'Solo / Solitaire Game', 'Variable Player Powers']"
12333,boardgame,Twilight Struggle,2005,2,2,180,120,180,13,38049,8.3057,8.15292,52330,832,1342,9643,8361,3424,3.5754,"['Modern Warfare', 'Political', 'Wargame']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Tug of War']"
161936,boardgame,Pandemic Legacy: Season 1,2015,2,4,60,60,60,13,37107,8.62302,8.47116,58727,267,814,9763,5816,1037,2.8284,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']"
150376,boardgame,Dead of Winter: A Crossroads Game,2014,2,5,120,60,120,13,36979,7.60785,7.46148,49825,1131,844,8184,5284,1387,3.0094,"['Bluffing', 'Deduction', 'Horror', 'Zombies']","['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Semi-Cooperative Game', 'Storytelling', 'Trading', 'Traitor Game', 'Variable Player Powers', 'Voting']"
120677,boardgame,Terra Mystica,2012,2,5,150,60,150,12,36454,8.16158,8.011,39854,561,1702,11553,5523,2481,3.9541,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Setup', 'Victory Points as a Resource']"
11,boardgame,Bohnanza,1997,2,7,45,45,45,13,36338,7.03757,6.93879,53036,953,336,2282,8255,2747,1.6738,"['Card Game', 'Farming', 'Negotiation']","['Hand Management', 'Negotiation', 'Set Collection', 'Trading']"
